file,peak_linear_acc_mps2,peak_rotational_acc_rads2
Rugby1165.xlsx,11.4738,938.5213
Rugby1166.xlsx,24.3101,2503.7185
Rugby1167.xlsx,10.9178,1002.5495
Rugby1168.xlsx,7.6810,780.3606
Rugby1169.xlsx,30.2507,4250.3894
Rugby117.xlsx,14.3001,973.6228
Rugby1170.xlsx,17.2281,626.7813
Rugby1171.xlsx,18.1889,1581.5961
Rugby1172.xlsx,19.5199,2638.7219
Rugby1173.xlsx,24.5587,1651.1895
Rugby1174.xlsx,19.3945,2074.8250
Rugby1175.xlsx,4.4779,808.8953
Rugby1176.xlsx,31.8688,1864.0745
Rugby1177.xlsx,15.7998,1442.0184
Rugby1178.xlsx,17.6966,1876.5539
Rugby1179.xlsx,15.1332,795.0782
Rugby118.xlsx,29.6556,2473.6869
Rugby1180.xlsx,19.7488,1943.9637
Rugby1181.xlsx,9.3259,820.3449
Rugby1182.xlsx,21.5765,2142.9027
Rugby1183.xlsx,14.4515,720.9161
Rugby1184.xlsx,10.2215,286.0117
Rugby1185.xlsx,24.2539,1582.0233
Rugby1186.xlsx,21.2060,2777.3648
Rugby1187.xlsx,11.0710,1658.2548
Rugby1188.xlsx,21.5768,2553.1863
Rugby1189.xlsx,11.1732,2738.6177
Rugby119.xlsx,21.8887,1238.6537
Rugby1190.xlsx,32.2049,3188.6300
Rugby1191.xlsx,36.0356,1630.4627
Rugby1192.xlsx,11.6758,1539.5357
Rugby1193.xlsx,5.4233,261.9166
Rugby1194.xlsx,25.2831,2863.4073
Rugby1195.xlsx,10.7624,654.5685
Rugby1196.xlsx,9.1795,936.2259
Rugby1197.xlsx,28.3585,2994.7018
Rugby1198.xlsx,19.2677,1465.9087
Rugby1199.xlsx,19.5152,2332.1557
Rugby12.xlsx,9.2245,1129.9964
Rugby120.xlsx,15.8715,1546.9503
Rugby1200.xlsx,29.0524,3336.1183
Rugby1201.xlsx,31.7351,3476.3772
Rugby1202.xlsx,15.7202,1853.7734
Rugby1203.xlsx,16.0919,1563.1063
Rugby1204.xlsx,16.0971,1709.2111
Rugby1205.xlsx,57.8038,1891.7554
Rugby1206.xlsx,11.0732,2781.6463
Rugby1207.xlsx,27.9278,2793.2237
Rugby1208.xlsx,20.2021,2154.8497
Rugby1209.xlsx,17.9970,2023.9871
Rugby121.xlsx,52.2132,4516.6801
Rugby1210.xlsx,10.4601,1073.0867
Rugby1211.xlsx,9.7424,821.3676
Rugby1212.xlsx,10.1303,1125.5765
Rugby1213.xlsx,21.4799,2342.7263
Rugby1214.xlsx,35.4656,4042.1411
Rugby1215.xlsx,11.5783,644.1678
Rugby1216.xlsx,13.2456,1508.6610
Rugby1217.xlsx,31.3789,3311.3633
Rugby1218.xlsx,31.8649,3229.3235
Rugby1219.xlsx,50.0781,5454.4313
Rugby122.xlsx,7.8830,734.5968
Rugby1220.xlsx,9.0128,892.2149
Rugby1221.xlsx,27.7643,2693.2186
Rugby1222.xlsx,25.8811,1787.3993
Rugby1223.xlsx,13.6536,1090.1615
Rugby1224.xlsx,17.3788,1722.4895
Rugby1225.xlsx,17.8836,548.5448
Rugby1226.xlsx,10.7195,1320.9177
Rugby1227.xlsx,17.8291,583.2729
